date,open,high,low,close,volume,turnover,transactions,price_change,close_adj
20231206,15.67,16.15,15.67,16.08,186366000,2985845000,34714,0.43,13.811718816830496
20231207,16.19,16.5,16.1,16.15,174928000,2853968000,40778,0.07,13.87184445844605
20231208,16.18,16.25,15.96,16.0,96414000,1546764000,26452,-0.15,13.743003797841288
20231211,15.95,15.95,15.8,15.81,72044000,1141666000,24329,-0.19,13.579805627741928
20231212,15.81,15.94,15.75,15.9,52575000,830753000,13984,0.09,13.657110024104783
20231213,15.91,16.0,15.9,15.97,41452000,662019000,9972,0.07,13.717235665720338
20231214,16.45,16.45,16.15,16.2,58644000,952596000,15016,0.23,13.914791345314303
20231215,16.3,16.44,16.26,16.43,57337000,938149000,11814,0.23,14.112347024908273
20231218,16.51,17.1,16.51,17.08,94000000,1584113000,20998,0.65,14.670656554195583
20231219,17.01,17.02,16.71,16.76,73043000,1229795000,24173,-0.32,14.395796478238756
20231220,16.8,16.96,16.71,16.74,47848000,805122000,14332,-0.02,14.378617723491448
20231221,16.76,16.79,16.45,16.47,66055000,1093096000,23238,-0.27,14.146704534402874
20231222,16.41,16.43,16.25,16.29,51799000,843850000,17660,-0.18,13.992095741677165
20231225,16.2,16.29,16.1,16.11,44721000,722371000,18699,-0.18,13.837486948951447
20231226,16.1,16.27,16.03,16.17,42590000,687651000,12893,0.06,13.889023213193356
20231227,15.87,16.02,15.81,15.96,221499000,3530631000,50846,-0.21,13.708646288346687
20231228,16.05,16.08,15.93,15.95,198153000,3167723000,39652,-0.01,13.700056910973034
20231229,15.91,16.04,15.9,16.01,198938000,3174569000,33305,0.06,13.751593175214943
20240102,15.93,16.0,15.9,15.96,169751000,2709554000,33385,-0.05,13.708646288346687
20240103,15.89,15.96,15.88,15.92,130375000,2074350000,27812,-0.04,13.674288778852082
20240104,15.87,15.92,15.87,15.88,125772000,1998018000,27039,-0.04,13.639931269357485
20240105,15.81,15.83,15.8,15.8,97449000,1540628000,29050,-0.08,13.571216250368273
20240108,15.74,15.74,15.7,15.7,79474000,1248619000,24349,-0.1,13.485322476631769
20240109,15.8,15.84,15.76,15.84,62703000,990701000,11973,0.14,13.605573759862878
20240110,15.9,15.92,15.86,15.86,66725000,1060115000,12823,0.02,13.622752514610182
20240111,15.88,15.92,15.86,15.86,40531000,643728000,10468,0.0,13.622752514610182
20240112,15.9,15.91,15.86,15.87,50159000,796227000,10518,0.01,13.631341891983828
20240115,15.9,15.95,15.85,15.94,52982000,842974000,11039,0.07,13.691467533599385
20240116,15.9,15.97,15.89,15.96,58869000,937200000,9737,0.02,13.708646288346687
20240117,15.87,15.92,15.85,15.85,71877000,1140423000,16694,-0.11,13.614163137236533
20240118,15.85,15.87,15.83,15.83,48341000,766053000,10669,-0.02,13.596984382489223
20240119,15.8,15.8,15.7,15.71,93062000,1463024000,23366,-0.12,13.493911854005415
20240122,15.77,15.77,15.7,15.75,77401000,1217395000,11608,0.04,13.52826936350002
20240123,15.77,15.78,15.73,15.74,79582000,1253530000,13004,-0.01,13.51967998612637
20240124,15.67,15.68,15.65,15.66,112730000,1765618000,29198,-0.08,13.450964967137164
20240125,15.6,15.62,15.56,15.61,102906000,1603772000,22653,-0.05,13.40801808026891
20240126,15.71,15.73,15.7,15.72,68504000,1076160000,11162,0.11,13.502501231379068
20240129,15.71,15.72,15.68,15.69,99793000,1566636000,21192,-0.03,13.476733099258116
20240130,15.78,15.78,15.73,15.76,81743000,1287024000,12608,0.07,13.536858740873672
20240131,15.8,15.89,15.78,15.88,91215000,1446802000,11346,0.12,13.639931269357485
20240201,15.94,15.96,15.9,15.94,62337000,992768000,10625,0.06,13.691467533599385
20240202,16.02,16.05,15.93,15.97,134054000,2141079000,19622,0.03,13.717235665720338
20240205,15.86,15.88,15.83,15.85,152102000,2412420000,25164,-0.12,13.614163137236533
20240215,15.62,15.65,15.59,15.65,215561000,3366443000,44780,-0.2,13.442375589763513
20240216,15.66,15.76,15.6,15.76,115057000,1806386000,21738,0.11,13.536858740873672
20240219,15.73,15.76,15.7,15.73,136225000,2142504000,27283,-0.03,13.511090608752717
20240220,15.71,15.73,15.7,15.72,95704000,1503972000,19795,-0.01,13.502501231379068
20240221,15.71,15.73,15.71,15.71,127700000,2007203000,22657,-0.01,13.493911854005415
20240222,15.69,15.71,15.69,15.71,98843000,1552241000,20902,0.0,13.493911854005415
20240223,15.73,15.77,15.72,15.77,97340000,1531579000,16263,0.06,13.54544811824732
20240226,15.86,15.95,15.86,15.94,132067000,2099947000,18988,0.17,13.691467533599385
20240227,15.7,15.71,15.68,15.69,204986000,3218168000,43103,-0.17,13.548128506696163
20240229,15.61,15.62,15.6,15.6,185165000,2890750000,40504,-0.09,13.470414576447427
20240301,15.61,15.61,15.55,15.58,160869000,2504802000,33020,-0.02,13.453144814169933
20240304,15.66,15.69,15.59,15.65,145134000,2272459000,24655,0.07,13.513588982141172
20240305,15.64,15.68,15.63,15.68,120255000,1881657000,23178,0.03,13.539493625557414
20240306,15.74,15.78,15.72,15.76,121831000,1919671000,18949,0.08,13.6085726746674
20240307,15.84,15.9,15.83,15.9,130767000,2075871000,20615,0.14,13.729461010609873
20240308,15.94,15.95,15.9,15.92,130181000,2072187000,22115,0.02,13.746730772887377
20240311,15.93,16.0,15.92,15.99,135994000,2170496000,18493,0.07,13.807174940858612
20240312,15.97,15.99,15.95,15.98,114469000,1828661000,21411,-0.01,13.798540059719864
20240313,15.94,15.94,15.9,15.92,127980000,2038144000,25347,-0.06,13.746730772887377
20240314,15.9,15.91,15.9,15.91,94747000,1507016000,18705,-0.01,13.738095891748625
20240315,15.8,15.87,15.77,15.86,122030000,1932014000,22148,-0.05,13.694921486054884
20240318,15.79,15.83,15.78,15.8,90476000,1429898000,17396,0.02,13.715755545110754
20240319,15.8,15.81,15.78,15.79,82285000,1299395000,18887,-0.01,13.707074687170806
20240320,15.8,15.81,15.78,15.79,98753000,1559694000,19043,0.0,13.707074687170806
20240321,15.84,15.85,15.79,15.79,100226000,1584130000,16782,0.0,13.707074687170806
20240322,15.79,15.91,15.78,15.86,266385000,4217114000,21327,0.07,13.767840692750413
20240325,15.95,15.98,15.86,15.91,190133000,3027895000,25026,0.05,13.811244982450129
20240326,15.87,15.9,15.85,15.88,110393000,1752464000,19740,-0.03,13.785202408630294
20240327,15.87,15.91,15.86,15.9,120165000,1909561000,12784,0.02,13.802564124510189
20240328,15.97,15.97,15.95,15.95,102225000,1631407000,17361,0.05,13.845968414209901
20240329,15.98,16.04,15.98,16.04,115516000,1849961000,13712,0.09,13.924096135669394
20240401,16.04,16.07,16.02,16.07,100349000,1609941000,14801,0.03,13.950138709489227
20240402,15.96,15.98,15.93,15.96,170875000,2728279000,30114,-0.11,13.854649272149846
20240403,15.93,15.94,15.88,15.89,138258000,2198167000,30013,-0.07,13.793883266570244
20240408,15.82,15.83,15.81,15.81,124797000,1974062000,29243,-0.08,13.724436403050694
20240409,15.83,15.88,15.82,15.86,104795000,1661898000,13853,0.05,13.767840692750413
20240410,15.91,15.92,15.88,15.89,88139000,1401080000,14830,0.03,13.793883266570244
20240411,15.75,15.82,15.71,15.81,178233000,2809539000,34598,-0.08,13.724436403050694
20240412,15.78,15.81,15.77,15.79,108708000,1717447000,23204,-0.02,13.707074687170806
20240415,15.81,15.88,15.81,15.82,92583000,1467139000,15874,0.03,13.733117260990634
20240416,15.53,15.7,15.52,15.64,296647000,4632142000,56723,-0.18,13.576861818071656
20240417,15.57,15.59,15.51,15.56,217459000,3383129000,46071,-0.08,13.507414954552104
20240418,15.52,15.53,15.51,15.51,113982000,1768857000,22849,0.03,13.537090071407542
20240419,15.5,15.66,15.48,15.55,180018000,2802101000,18959,0.04,13.57200197359041
20240422,15.5,15.51,15.47,15.48,138449000,2144068000,29557,-0.07,13.510906144770388
20240423,15.52,15.58,15.52,15.58,96962000,1509140000,8898,0.1,13.598185900227566
20240424,15.6,15.61,15.55,15.57,72306000,1125916000,14021,-0.01,13.58945792468185
20240425,15.54,15.54,15.52,15.52,68025000,1056356000,15638,-0.05,13.54581804695326
20240426,15.48,15.49,15.47,15.47,111734000,1729893000,26587,-0.05,13.502178169224676
20240429,15.55,15.58,15.54,15.56,67689000,1053520000,10094,0.09,13.580729949136131
20240430,15.59,15.61,15.57,15.6,85049000,1326074000,9520,0.04,13.615641851319005
20240502,15.59,15.6,15.56,15.56,99408000,1547755000,18236,-0.04,13.580729949136131
20240503,15.58,15.59,15.53,15.54,129084000,2007347000,24866,-0.02,13.563273998044696
20240506,15.64,15.67,15.61,15.67,144693000,2263733000,18853,0.13,13.67673768013902
20240507,15.73,15.82,15.72,15.81,164352000,2590417000,16280,0.14,13.798929337779066
20240508,15.82,15.86,15.81,15.82,123507000,1955430000,16435,0.01,13.807657313324784
20240509,15.75,15.76,15.73,15.73,116149000,1829096000,22038,-0.09,13.729105533413323
20240510,15.8,15.84,15.8,15.8,112989000,1786918000,13051,0.07,13.790201362233343
20240513,15.77,15.77,15.73,15.75,122413000,1928240000,19163,-0.05,13.746561484504758
20240514,15.75,15.76,15.74,15.75,99377000,1564928000,16037,0.0,13.746561484504758
20240515,15.81,15.82,15.73,15.74,211825000,3339621000,26825,-0.01,13.737833508959042
20240516,15.87,15.94,15.85,15.9,214047000,3400316000,18997,0.16,13.877481117690513
20240517,15.79,15.83,15.78,15.81,92347000,1459785000,14571,-0.01,13.872216519390939
20240520,15.77,15.78,15.76,15.77,96294000,1518850000,19459,-0.04,13.837119197393742
20240521,15.76,15.78,15.75,15.76,83192000,1311839000,14744,-0.01,13.828344866894449
20240522,15.79,15.8,15.77,15.78,94766000,1495938000,13141,0.02,13.84589352789304
20240523,15.77,15.77,15.75,15.75,180169000,2839703000,25025,-0.03,13.819570536395148
20240524,15.7,15.72,15.68,15.69,192553000,3021713000,39243,-0.06,13.766924553399356
20240527,15.71,15.72,15.67,15.68,134296000,2106783000,26953,-0.01,13.758150222900058
20240528,15.68,15.69,15.64,15.65,158791000,2485635000,33574,-0.03,13.73182723140216
20240529,15.56,15.57,15.52,15.55,354474000,5510582000,76884,-0.1,13.644083926409177
20240530,15.49,15.53,15.48,15.53,186202000,2886371000,36317,-0.02,13.626535265410585
20240531,15.64,15.68,15.63,15.68,117963000,1847853000,13001,0.15,13.758150222900058
20240603,15.76,15.78,15.71,15.75,123613000,1947344000,15878,0.07,13.819570536395148
20240604,15.86,15.88,15.81,15.85,146808000,2325699000,15778,0.1,13.907313841388136
20240605,15.91,15.95,15.9,15.92,155320000,2473994000,17155,0.07,13.968734154883222
20240606,15.98,15.98,15.92,15.94,129004000,2056723000,19526,0.02,13.986282815881824
20240607,15.93,15.95,15.9,15.94,104784000,1668744000,13891,0.0,13.986282815881824
20240611,15.78,15.82,15.75,15.79,208265000,3288895000,33437,-0.15,13.85466785839234
20240612,15.84,15.85,15.82,15.84,103619000,1641007000,15235,0.05,13.898539510888835
20240613,15.92,15.94,15.89,15.93,118463000,1886001000,14638,0.09,13.977508485382524
20240614,16.01,16.06,15.99,16.03,176210000,2825724000,18479,0.1,14.06525179037551
20240617,16.01,16.06,16.0,16.03,159102000,2550119000,23000,0.0,14.06525179037551
20240618,16.0,16.01,15.98,16.0,129008000,2064112000,23869,-0.03,14.038928798877606
20240619,16.06,16.09,16.06,16.06,127408000,2048194000,19436,0.06,14.091574781873398
20240620,16.05,16.06,16.03,16.05,126680000,2032401000,20997,-0.01,14.082800451374103
20240621,16.0,16.0,15.96,15.97,282638000,4519363000,43925,-0.08,14.012605807379716
20240624,15.9,15.92,15.88,15.9,132558000,2108149000,25497,0.01,14.02495482420606
20240625,15.97,16.0,15.96,15.99,71129000,1137035000,12398,0.09,14.104341360946853
20240626,15.98,15.99,15.94,15.98,85874000,1370772000,18530,-0.01,14.095520634642316
20240627,15.87,15.87,15.85,15.85,172931000,2742396000,38380,-0.13,13.9808511926834
20240628,15.92,15.93,15.85,15.87,93457000,1483469000,18212,0.02,13.998492645292462
20240701,15.71,15.76,15.67,15.75,286720000,4506711000,53475,-0.12,13.892643929638078
20240702,15.7,15.75,15.7,15.73,124480000,1957723000,21612,-0.02,13.875002477029016
20240703,15.78,15.85,15.78,15.83,94384000,1492584000,12852,0.1,13.963209740074333
20240704,15.93,15.94,15.87,15.88,79884000,1270334000,14290,0.05,14.007313371596991
20240705,15.87,15.88,15.85,15.88,60336000,957306000,11722,0.0,14.007313371596991
20240708,15.94,15.98,15.94,15.95,106363000,1696984000,15905,0.07,14.069058455728724
20240709,16.0,16.05,16.0,16.03,128840000,2065144000,14809,0.08,14.139624266164978
20240710,16.0,16.02,15.99,16.0,125094000,2001584000,16058,-0.03,14.11316208725138
20240711,16.02,16.05,16.01,16.02,81069000,1299275000,13708,0.02,14.130803539860445
20240712,16.09,16.13,16.06,16.13,113740000,1830898000,17444,0.11,14.227831529210295
20240715,16.12,16.14,16.1,16.12,139893000,2255213000,22724,-0.01,14.21901080290577
20240716,16.15,16.21,16.14,16.17,131416000,2125429000,19436,0.05,14.26311443442843
20240717,16.26,16.29,16.26,16.28,162945000,2652725000,19375,0.11,14.360142423778283
20240718,16.27,16.27,16.23,16.25,167232000,2716725000,23017,-0.03,14.333680244864679
20240719,16.14,16.16,16.11,16.12,128779000,2077975000,25092,-0.05,14.292894070717477
20240722,16.11,16.16,16.07,16.14,120044000,1933197000,19339,0.02,14.310627189911912
20240723,16.09,16.1,16.07,16.07,128068000,2060396000,24134,-0.07,14.24856127273138
20240726,16.0,16.01,15.95,15.96,191069000,3052769000,38550,-0.11,14.151029117161965
20240729,16.05,16.11,16.05,16.09,78417000,1261693000,13947,0.13,14.266294391925816
20240730,16.12,16.13,16.09,16.1,83932000,1352450000,12380,0.01,14.275160951523038
20240731,16.12,16.17,16.11,16.16,101658000,1642101000,11981,0.06,14.328360309106353
20240801,16.22,16.27,16.22,16.23,103182000,1676278000,15081,0.07,14.390426226286886
20240802,16.31,16.35,16.27,16.28,157106000,2562784000,24509,0.05,14.434759024272985
20240805,16.45,16.5,16.27,16.32,325732000,5330792000,41612,0.04,14.47022526266186
20240806,16.15,16.25,16.06,16.23,208144000,3369923000,29319,-0.09,14.390426226286886
20240807,16.22,16.23,16.17,16.23,113200000,1833859000,19061,0.0,14.390426226286886
20240808,16.19,16.19,16.08,16.1,203102000,3274928000,31585,-0.13,14.275160951523038
20240809,16.05,16.05,15.99,15.99,280931000,4499608000,52237,-0.11,14.177628795953623
20240812,16.07,16.13,16.06,16.12,92152000,1483813000,12894,0.13,14.292894070717477
20240813,16.15,16.18,16.12,16.12,97168000,1568149000,12770,0.0,14.292894070717477
20240814,16.21,16.24,16.18,16.22,72724000,1178282000,10465,0.1,14.381559666689661
20240815,16.29,16.35,16.27,16.35,146533000,2392485000,14806,0.13,14.496824941453518
20240816,16.35,16.4,16.33,16.39,126980000,2078986000,16774,0.04,14.532291179842396
20240819,16.37,16.38,16.29,16.3,134158000,2190240000,23912,-0.09,14.45249214346742
20240820,16.31,16.32,16.27,16.31,113965000,1857109000,16239,0.01,14.461358703064638
20240821,16.29,16.31,16.26,16.3,62043000,1010727000,12093,0.07,14.525520511458815
20240822,16.3,16.31,16.28,16.31,50805000,827905000,11134,0.01,14.53443187373578
20240823,16.27,16.29,16.27,16.29,59926000,975616000,12429,-0.02,14.516609149181841
20240826,16.31,16.33,16.28,16.3,82437000,1343722000,16549,0.01,14.525520511458815
20240827,16.29,16.3,16.28,16.3,51942000,846194000,10717,0.0,14.525520511458815
20240828,16.3,16.31,16.29,16.31,55616000,906640000,10097,0.01,14.53443187373578
20240829,16.29,16.29,16.25,16.26,89561000,1457731000,18242,-0.05,14.489875062350935
20240830,16.23,16.24,16.2,16.24,72383000,1173915000,14650,-0.02,14.472052337797006
20240902,16.18,16.2,16.15,16.19,98353000,1591662000,18266,-0.05,14.427495526412157
20240903,16.19,16.22,16.18,16.21,79215000,1283881000,12366,0.02,14.4453182509661
20240904,16.28,16.28,16.22,16.23,83419000,1354767000,14003,0.02,14.463140975520036
20240905,16.34,16.35,16.31,16.34,73255000,1196448000,11485,0.11,14.561165960566688
20240906,16.41,16.41,16.36,16.39,77725000,1273865000,12509,0.05,14.60572277195153
20240909,16.36,16.39,16.33,16.38,59938000,981118000,10313,-0.01,14.59681140967456
20240910,16.47,16.54,16.46,16.53,107066000,1767538000,13368,0.15,14.730481843829091
20240911,16.59,16.62,16.56,16.6,97477000,1617494000,14780,0.07,14.792861379767873
20240912,16.54,16.58,16.52,16.58,90015000,1489802000,12783,-0.02,14.775038655213935
20240913,16.61,16.61,16.58,16.59,59960000,994993000,8655,0.01,14.7839500174909
20240916,16.6,16.6,16.56,16.56,82880000,1373756000,14765,-0.03,14.757215930659997
20240918,16.63,16.73,16.62,16.73,98471000,1643678000,12158,0.17,14.908709089368465
20240919,16.63,16.68,16.62,16.65,124672000,2076953000,19149,-0.08,14.837418191152711
20240920,16.65,16.68,16.65,16.67,99280000,1654347000,11181,0.02,14.855240915706649
20240923,16.55,16.56,16.53,16.54,81208000,1343690000,14299,-0.05,14.812254928007475
20240924,16.58,16.61,16.5,16.51,78671000,1302709000,12149,-0.03,14.785388685695496
20240925,16.52,16.53,16.47,16.49,65799000,1085104000,13417,-0.02,14.767477857487503
20240926,16.42,16.43,16.37,16.39,142496000,2335586000,29239,-0.1,14.677923716447557
20240927,16.33,16.35,16.3,16.32,142683000,2327926000,22776,-0.07,14.615235817719586
20240930,16.31,16.35,16.3,16.31,123553000,2015734000,15415,-0.01,14.6062804036156
20241001,16.32,16.43,16.32,16.4,65282000,1070351000,9292,0.09,14.686879130551548
20241004,16.36,16.4,16.33,16.39,81688000,1338077000,10933,-0.01,14.677923716447557
20241007,16.39,16.42,16.37,16.38,104152000,1706867000,12723,-0.01,14.66896830234356
20241008,16.31,16.33,16.26,16.32,137570000,2241914000,19667,-0.06,14.615235817719586
20241009,16.33,16.35,16.26,16.27,103104000,1680743000,18856,-0.05,14.570458747199615
20241011,16.27,16.31,16.26,16.27,83158000,1353567000,13759,0.0,14.570458747199615
20241014,16.24,16.25,16.19,16.2,126853000,2055851000,22864,-0.07,14.507770848471656
20241015,16.24,16.29,16.22,16.28,110163000,1792179000,11421,0.08,14.579414161303616
20241016,16.37,16.4,16.37,16.38,55107000,902710000,9605,0.1,14.66896830234356
20241017,16.42,16.42,16.39,16.4,58924000,966800000,7426,0.02,14.686879130551548
20241018,16.27,16.28,16.25,16.26,141569000,2301931000,22639,-0.14,14.561503333095622
20241021,16.18,16.19,16.14,16.16,216351000,3497408000,39808,-0.1,14.471949192055673
20241022,15.89,16.0,15.8,15.83,369291000,5852857000,82480,-0.25,14.248722211110916
20241023,15.83,15.83,15.76,15.77,184734000,2916713000,40683,-0.06,14.194715683462993
20241024,15.76,15.79,15.75,15.79,126606000,1997033000,17260,0.02,14.212717859345638
20241025,15.86,15.92,15.85,15.92,120427000,1912516000,11832,0.13,14.329732002582801
20241028,15.77,15.78,15.71,15.75,195610000,3080094000,35506,-0.17,14.176713507580356
20241029,15.77,15.8,15.75,15.77,57050000,899442000,8996,0.02,14.194715683462993
20241030,15.82,15.85,15.79,15.81,105730000,1672525000,12654,0.04,14.230720035228279
20241101,15.78,15.79,15.76,15.78,56100000,884795000,11897,-0.03,14.203716771404315
20241104,15.68,15.73,15.65,15.66,152813000,2395129000,33875,-0.12,14.095703716108464
20241105,15.77,15.81,15.74,15.81,77442000,1221820000,9052,0.15,14.230720035228279
20241106,15.78,15.87,15.67,15.8,195313000,3077889000,28537,-0.01,14.221718947286957
20241107,15.8,15.92,15.8,15.86,96034000,1523729000,8792,0.06,14.27572547493488
20241108,15.97,16.02,15.96,16.02,111386000,1781044000,10189,0.16,14.419742881996015
20241111,16.09,16.17,16.09,16.16,77490000,1249358000,10568,0.14,14.545758113174507
20241112,16.23,16.29,16.2,16.29,147639000,2400310000,14438,0.13,14.662772256411678
20241113,16.11,16.13,16.07,16.09,101533000,1634394000,15216,-0.2,14.482750497585256
20241114,15.92,15.98,15.92,15.96,109626000,1748227000,14953,-0.13,14.365736354348085
20241115,16.01,16.02,15.94,15.95,78425000,1252879000,9920,-0.01,14.356735266406767
20241118,15.93,15.97,15.92,15.96,43926000,700496000,8686,0.01,14.365736354348085
20241119,16.0,16.01,15.98,16.0,48048000,768515000,5990,0.04,14.401740706113374
20241120,16.0,16.01,15.98,15.99,67459000,1079177000,8390,-0.01,14.392739618172051
20241121,15.91,15.94,15.91,15.93,40771000,649393000,5757,0.02,14.412644085836112
20241122,15.92,15.94,15.92,15.93,33236000,529396000,5785,0.0,14.412644085836112
20241125,16.0,16.02,15.98,15.99,51261000,820111000,6125,0.06,14.466928997647166
20241126,16.18,16.18,16.11,16.12,99062000,1599469000,9415,0.13,14.584546306571122
20241127,16.12,16.15,16.1,16.12,52768000,850927000,7189,0.0,14.584546306571122
20241128,16.17,16.19,16.14,16.19,86310000,1395593000,11075,0.07,14.64787870368403
20241129,16.24,16.25,16.2,16.24,72646000,1178385000,8997,0.05,14.693116130193243
20241202,16.29,16.37,16.27,16.36,125627000,2050899000,14104,0.12,14.801685953815362
20241203,16.43,16.45,16.41,16.43,131842000,2166695000,12228,0.07,14.865018350928265
20241204,16.36,16.37,16.27,16.27,109742000,1790796000,17128,-0.16,14.720258586098772
20241205,16.36,16.4,16.34,16.38,73028000,1195544000,8975,0.11,14.819780924419048
20241206,16.42,16.42,16.39,16.4,70798000,1161549000,7146,0.02,14.837875895022734
20241209,16.42,16.46,16.4,16.46,67239000,1105477000,9450,0.06,14.892160806833791
20241210,16.39,16.39,16.36,16.38,45878000,751013000,8770,-0.08,14.819780924419048
20241211,16.35,16.36,16.33,16.34,39504000,645595000,7686,-0.04,14.783590983211678
20241212,16.3,16.3,16.25,16.26,69827000,1136686000,13948,-0.08,14.711211100796927
20241213,16.19,16.2,16.13,16.15,106146000,1715397000,17635,-0.11,14.611688762476655
20241216,16.06,16.06,16.02,16.04,141419000,2268760000,19412,-0.11,14.512166424156376
20241217,16.05,16.06,16.03,16.04,118959000,1908191000,13775,0.0,14.512166424156376
20241218,16.05,16.07,16.04,16.06,71260000,1144026000,9966,0.02,14.530261394760066
20241219,15.93,15.98,15.91,15.95,185629000,2959898000,28246,-0.11,14.430739056439796
20241220,15.75,15.75,15.7,15.71,230669000,3625518000,42113,-0.16,14.287050074153589
20241223,15.7,15.73,15.67,15.71,147446000,2314949000,24907,0.0,14.287050074153589
20241224,15.65,15.66,15.63,15.65,145508000,2276967000,30096,-0.06,14.23248463784237
20241225,15.69,15.71,15.68,15.71,64010000,1004822000,9822,0.06,14.287050074153589
20241226,15.68,15.69,15.66,15.66,106008000,1661850000,19564,-0.05,14.24157887722758
20241227,15.7,15.75,15.7,15.73,68661000,1080150000,8966,0.07,14.305238552923997
20241230,15.67,15.67,15.63,15.65,112221000,1755779000,25016,-0.08,14.23248463784237
20241231,15.73,15.8,15.73,15.79,72019000,1135928000,8501,0.14,14.35980398923521
20250102,15.67,15.7,15.65,15.69,90245000,1414681000,13640,-0.1,14.26886159538319
20250103,15.76,15.78,15.75,15.77,59811000,942975000,7325,0.08,14.341615510464807
20250106,15.66,15.68,15.65,15.68,153788000,2408436000,27501,-0.09,14.259767355997981
20250107,15.6,15.6,15.56,15.56,212220000,3305423000,46580,-0.12,14.150636483375553
20250108,15.42,15.44,15.41,15.43,186286000,2873988000,40996,-0.13,14.032411371367912
20250109,15.46,15.52,15.46,15.52,103075000,1596387000,14303,0.09,14.114259525834735
20250110,15.49,15.49,15.45,15.47,61515000,951626000,14275,-0.05,14.068788328908722
20250113,15.44,15.46,15.42,15.45,94266000,1455390000,16868,-0.02,14.050599850138312
20250114,15.47,15.5,15.47,15.5,60900000,942999000,8248,0.05,14.096071047064328
20250115,15.44,15.46,15.41,15.45,63068000,973395000,14992,-0.05,14.050599850138312
20250116,15.63,15.65,15.58,15.64,56752000,886643000,9777,0.19,14.22339039845717
20250117,15.67,15.69,15.65,15.68,47308000,741560000,7280,0.04,14.259767355997981
20250120,15.7,15.7,15.62,15.64,84516000,1322814000,15050,-0.04,14.22339039845717
20250121,15.68,15.74,15.65,15.74,73544000,1154667000,8511,0.1,14.314332792309202
20250122,15.64,15.67,15.61,15.66,58723000,918641000,10130,0.0,14.316161165382688
20250203,15.73,15.87,15.68,15.85,170069000,2686548000,17204,0.19,14.489856607363695
20250204,15.8,15.81,15.73,15.78,105472000,1662087000,16654,-0.07,14.425863549791748
20250205,15.82,15.84,15.8,15.82,49251000,778931000,7404,0.04,14.462431011261433
20250206,15.97,15.98,15.95,15.95,119334000,1905068000,11526,0.13,14.581275261037916
20250207,15.96,15.96,15.91,15.93,66941000,1066745000,9611,-0.02,14.562991530303076
20250210,15.85,15.89,15.82,15.87,54334000,861981000,10555,-0.06,14.508140338098542
20250211,15.86,15.86,15.81,15.82,90591000,1434812000,14363,-0.05,14.462431011261433
20250212,15.78,15.79,15.74,15.76,86946000,1370471000,18844,-0.06,14.407579819056899
20250213,15.7,15.71,15.67,15.69,123431000,1936961000,24884,-0.07,14.343586761484952
20250214,15.79,15.85,15.78,15.83,75922000,1200713000,8505,0.14,14.471572876628857
20250217,15.87,15.88,15.84,15.86,77303000,1225998000,11391,0.03,14.49899847273112
20250218,15.78,15.79,15.76,15.77,45200000,713038000,11728,-0.01,14.491646971413982
20250219,15.74,15.74,15.72,15.73,58800000,925004000,13259,-0.04,14.454889464828277
20250220,15.74,15.78,15.73,15.75,51137000,805700000,8327,0.02,14.47326821812113
20250221,15.76,15.78,15.75,15.77,47285000,745546000,9508,0.02,14.491646971413982
20250224,15.83,15.84,15.81,15.82,49916000,789939000,8540,0.05,14.537593854646113
20250225,15.9,15.94,15.89,15.92,116956000,1861531000,12259,0.1,14.629487621110368
20250226,16.03,16.05,15.96,15.99,179845000,2878301000,15071,0.07,14.693813257635355
20250227,16.07,16.12,16.06,16.11,194754000,3132848000,17218,0.12,14.804085777392473
20250303,16.11,16.12,16.07,16.1,147312000,2369972000,13493,-0.01,14.794896400746042
20250304,16.21,16.22,16.18,16.18,217298000,3519992000,18165,0.08,14.868411413917451
20250305,16.03,16.03,15.95,15.98,139562000,2231437000,21850,-0.2,14.684623880988932
20250306,15.93,15.96,15.92,15.95,67550000,1076762000,12003,-0.03,14.65705575104965
20250307,16.0,16.03,15.99,16.01,67905000,1087291000,7777,0.06,14.71219201092821
20250310,15.97,15.97,15.93,15.95,72934000,1163465000,10319,-0.06,14.65705575104965
20250311,16.05,16.06,16.02,16.04,103904000,1666790000,10901,0.09,14.739760140867489
20250312,15.89,15.89,15.84,15.87,179490000,2847556000,24698,-0.17,14.583540737878243
20250313,15.83,15.83,15.8,15.83,123412000,1952373000,16917,-0.04,14.546783231292535
20250314,15.83,15.84,15.81,15.82,82787000,1310280000,11578,-0.01,14.537593854646113
20250317,15.85,15.89,15.84,15.89,76883000,1220179000,10787,0.07,14.601919491171095
20250318,15.86,15.89,15.85,15.89,46003000,730421000,6224,0.08,14.67580649681902
20250319,15.88,15.89,15.86,15.88,42680000,677777000,6026,-0.01,14.666570621113028
20250320,16.04,16.05,16.0,16.03,127641000,2046713000,11362,0.15,14.80510875670289
