date,open,high,low,close,volume,turnover,transactions,price_change,close_adj
20250527,9.96,9.99,9.88,9.89,58189907,579124803,7019,-0.07,9.305871257991203
20250528,9.99,10.01,9.93,9.94,32181741,321239453,3395,0.05,9.352918129871844
20250529,10.04,10.07,9.99,10.06,64400020,646460902,4003,0.12,9.465830622385388
20250602,9.98,10.0,9.88,9.93,19924770,197816464,3325,-0.13,9.343508755495716
20250603,10.01,10.11,10.01,10.03,21577805,216914793,1817,0.1,9.437602499257
20250604,10.16,10.24,10.16,10.18,19512101,198963743,1847,0.15,9.57874311489893
20250605,10.22,10.25,10.18,10.2,10577839,108076281,1410,0.02,9.597561863651189
20250606,10.18,10.2,10.12,10.14,7539253,76541637,1188,-0.06,9.541105617394416
20250609,10.19,10.24,10.17,10.24,7837210,80038086,997,0.1,9.635199361155703
20250610,10.3,10.51,10.3,10.5,22119248,231447388,2030,0.26,9.879843094935048
20250611,10.62,10.62,10.57,10.61,11479286,121644820,1736,0.11,9.983346213072462
20250612,10.6,10.7,10.57,10.64,11158885,118747736,1669,0.03,10.011574336200846
20250613,10.57,10.67,10.55,10.65,12578387,133600918,1908,0.01,10.020983710576976
20250616,10.61,10.71,10.59,10.7,8681299,92659941,1532,0.05,10.06803058245762
20250617,10.78,10.8,10.71,10.74,12470251,134068688,1752,0.04,10.105668079962134
20250618,10.73,10.8,10.72,10.76,18871672,203279532,1627,0.02,10.124486828714392
20250619,10.76,10.78,10.69,10.71,11268296,120886877,1804,-0.05,10.07743995683375
20250620,10.72,10.79,10.56,10.65,11602458,123279156,2113,-0.06,10.020983710576976
20250623,10.52,10.65,10.5,10.65,11016049,116916054,1421,0.0,10.020983710576976
20250624,10.8,10.86,10.8,10.86,9326433,101052752,1236,0.21,10.218580572475677
20250625,10.98,10.99,10.94,10.98,22964281,251696416,1828,0.12,10.331493064989221
20250626,11.0,11.02,10.9,10.91,8163657,89349355,1789,-0.07,10.265627444356321
20250627,10.98,10.98,10.88,10.9,8677754,94643516,1340,-0.01,10.256218069980191
20250630,10.96,10.99,10.91,10.95,8068570,88392102,1271,0.05,10.303264941860833
20250701,11.03,11.08,11.0,11.02,9953617,109885898,1655,0.07,10.369130562493735
20250702,11.0,11.05,10.98,11.05,7470296,82294603,1101,0.03,10.397358685622123
20250703,11.15,11.21,11.11,11.2,8545421,95419089,1344,0.15,10.53849930126405
20250704,11.24,11.28,11.15,11.17,13384688,149944877,2556,-0.03,10.510271178135664
20250707,11.16,11.16,11.03,11.04,16080050,178006167,2698,-0.13,10.387949311245992
20250708,11.02,11.15,11.0,11.14,15356395,170308412,1683,0.1,10.482043055007278
20250709,11.14,11.38,11.14,11.38,20479454,231246896,2403,0.24,10.707868040034366
20250710,11.39,11.48,11.37,11.4,20473141,233796612,2990,0.02,10.726686788786623
20250711,11.42,11.42,11.31,11.35,18297541,207845940,3398,-0.05,10.67963991690598
20250714,11.32,11.32,11.22,11.23,18348788,206781731,3527,-0.12,10.566727424392436
20250715,11.26,11.41,11.26,11.4,15271420,173642503,1757,0.17,10.726686788786623
20250716,11.48,11.6,11.48,11.51,24838114,287152946,3060,0.11,10.830189906924035
20250717,11.58,11.59,11.47,11.55,13377494,154164442,2124,0.04,10.867827404428553
20250718,11.64,11.79,11.63,11.79,27875668,326372710,3737,0.24,11.093652389455638
20250721,11.79,11.82,11.67,11.7,32432307,380216087,6501,-0.09,11.008968020070482
20250722,11.71,11.82,11.49,11.52,30873076,358634370,6949,-0.18,10.839599281300165
20250723,11.62,11.67,11.53,11.55,26108768,302167896,3157,0.03,10.867827404428553
20250724,11.64,11.71,11.6,11.69,20962360,244535071,2361,0.14,10.999558645694352
20250725,11.7,11.72,11.61,11.66,13862260,161456944,2749,-0.03,10.971330522565967
20250728,11.71,11.79,11.67,11.79,15270002,179517154,2316,0.13,11.093652389455638
20250729,11.77,11.77,11.59,11.7,21900831,255859527,4884,-0.09,11.008968020070482
20250730,11.75,11.78,11.62,11.72,18516840,216393552,2430,0.02,11.02778676882274
20250731,11.83,12.06,11.83,12.06,38510358,461571381,4705,0.34,11.347705497611111
20250801,11.85,12.12,11.84,12.07,57805708,696622749,8292,0.01,11.35711487198724
20250804,12.0,12.0,11.84,11.87,56007401,665991231,14353,-0.2,11.168927384464666
20250805,12.02,12.13,12.01,12.1,37321624,450634170,4163,0.23,11.385342995115625
20250806,12.09,12.11,12.05,12.08,23428947,283108535,4789,-0.02,11.366524246363369
20250807,12.3,12.45,12.25,12.39,35220544,435821743,5175,0.31,11.658214852023356
20250808,12.52,12.68,12.5,12.66,50654078,638230399,9397,0.27,11.912267960178829
20250811,12.68,12.88,12.6,12.87,69637124,888906826,11556,0.21,12.10986482207753
20250812,12.94,12.94,12.84,12.91,73782626,950220774,12238,0.04,12.147502319582044
20250813,13.05,13.19,12.91,13.06,129095741,1687619373,17757,0.15,12.288642935223972
20250814,13.13,13.18,12.98,13.05,83444935,1091070044,15844,-0.01,12.279233560847846
20250815,13.06,13.16,12.98,13.13,64985032,849811811,12034,0.08,12.354508555856873
20250818,13.13,13.43,13.13,13.42,117181176,1561222485,16317,0.29,12.627380412764603
20250819,13.53,13.58,13.05,13.05,263553594,3494605499,57192,-0.37,12.279233560847846
20250820,12.84,12.89,12.48,12.49,216399067,2735045363,59107,-0.56,11.75230859578464
