date,open,high,low,close,volume,turnover,transactions,price_change,close_adj
20100104,15.25,15.35,15.15,15.2,7999333,121815794,1496,-0.05,15.2
20100105,15.3,15.4,15.15,15.2,14601894,222704867,3091,0.0,15.2
20100106,15.25,15.4,15.15,15.4,15862063,242639197,2846,0.2,15.4
20100107,15.5,15.5,15.3,15.35,16640615,256337811,3002,-0.05,15.35
20100108,15.4,15.6,15.35,15.5,19274487,298630483,3222,0.15,15.5
20100111,15.5,15.75,15.5,15.65,20324545,317609990,2467,0.15,15.65
20100112,15.65,15.8,15.5,15.6,15098539,236253334,2335,-0.05,15.6
20100113,15.5,15.5,15.3,15.35,11286301,173496371,1517,-0.25,15.35
20100114,15.45,15.5,15.35,15.45,7531105,116233038,1129,0.1,15.45
20100115,15.45,15.55,15.35,15.45,11301790,174789899,1574,0.0,15.45
20100118,15.25,15.4,15.2,15.3,8857932,135446489,1382,-0.15,15.3
20100119,15.35,15.45,15.15,15.25,9242363,140861001,1825,-0.05,15.25
20100120,15.3,15.35,15.0,15.0,10743788,162634770,2057,-0.25,15.0
20100121,15.0,15.25,15.0,15.15,9462916,143271507,2248,0.15,15.15
20100122,14.85,15.0,14.8,14.95,11165790,166406800,2010,-0.2,14.95
20100125,14.7,14.85,14.65,14.65,8951694,131960301,1793,-0.3,14.65
20100126,14.8,14.8,14.1,14.2,16115897,231915119,3176,-0.45,14.2
20100127,14.25,14.4,14.1,14.4,5665702,80915051,1435,0.2,14.4
20100128,14.45,14.6,14.3,14.4,7831628,113393734,1521,0.0,14.4
20100129,14.4,14.45,14.1,14.45,8793447,125529998,1882,0.05,14.45
20100201,14.5,14.55,14.15,14.3,6053262,86530622,1338,-0.15,14.3
20100202,14.5,14.5,13.9,14.0,9387735,132252690,1985,-0.3,14.0
20100203,14.1,14.15,13.85,14.0,8973960,125751090,1555,0.0,14.0
20100204,14.1,14.1,13.9,14.1,4845840,67952160,1024,0.1,14.1
20100205,13.8,13.8,13.4,13.4,15580133,211707434,2752,-0.7,13.4
20100206,13.2,13.6,13.2,13.5,7117446,95181215,1401,0.1,13.5
20100208,13.6,13.6,13.4,13.55,6168103,83255166,1460,0.05,13.55
20100209,13.5,13.85,13.45,13.7,6551910,89964506,1431,0.15,13.7
20100210,13.85,13.95,13.75,13.85,11120230,153845675,1568,0.15,13.85
20100222,14.05,14.45,13.95,14.3,14930413,212910182,2698,0.45,14.3
20100223,14.4,14.45,14.25,14.4,7408754,106355937,1286,0.1,14.4
20100224,14.2,14.45,14.2,14.3,7683665,110022400,1687,-0.1,14.3
20100225,14.35,14.35,13.95,14.0,9920412,140097301,1981,-0.3,14.0
20100226,14.05,14.25,14.05,14.15,6694970,94719411,1348,0.15,14.15
20100301,14.2,14.5,14.15,14.35,9375709,134858303,1991,0.2,14.35
20100302,14.5,14.5,14.3,14.35,4767134,68520247,826,0.0,14.35
20100303,14.45,14.6,14.35,14.55,8159234,118178632,1373,0.2,14.55
20100304,14.55,14.55,14.1,14.25,6064176,86543756,1482,-0.3,14.25
20100305,14.4,14.45,14.3,14.4,10976069,157718819,1397,0.15,14.4
20100308,14.45,14.5,14.35,14.4,5567880,80258701,1092,0.0,14.4
20100309,14.3,14.4,14.3,14.35,7946190,114005154,729,-0.05,14.35
20100310,14.4,14.5,14.3,14.35,5976201,85889360,811,0.0,14.35
20100311,14.45,14.45,14.2,14.25,5031015,71911096,999,-0.1,14.25
20100312,14.35,14.35,14.0,14.05,14431858,203689462,2001,-0.2,14.05
20100315,14.1,14.15,13.95,13.95,8174254,114649082,1313,-0.1,13.95
20100316,13.95,14.1,13.95,14.05,9875056,138241534,1288,0.1,14.05
20100317,14.15,14.35,14.1,14.35,12885172,183331637,2198,0.3,14.35
20100318,14.35,14.5,14.3,14.45,12052686,173577618,1680,0.1,14.45
20100319,14.5,14.55,14.3,14.55,15059628,217205294,1685,0.1,14.55
20100322,14.5,14.5,14.3,14.4,6621634,95135580,1238,-0.15,14.4
20100323,14.4,14.45,14.3,14.35,4190714,60242650,579,-0.05,14.35
20100324,14.45,14.45,14.25,14.35,10432017,149708374,1286,0.0,14.35
20100325,14.35,14.45,14.2,14.35,7712647,110430937,1134,0.0,14.35
20100326,14.25,14.45,14.1,14.4,8661148,123850908,2071,0.05,14.4
20100329,14.45,14.45,14.35,14.45,8354506,120476168,1458,0.05,14.45
20100330,14.45,14.5,14.4,14.45,5764562,83262179,933,0.0,14.45
20100331,14.45,14.45,14.3,14.4,4669259,67160201,1081,-0.05,14.4
20100401,14.45,14.65,14.4,14.6,16531256,240216495,3068,0.2,14.6
20100402,14.6,14.65,14.55,14.6,7329873,106967894,1149,0.0,14.6
20100406,14.65,14.75,14.55,14.65,9355371,137247626,1713,0.05,14.65
20100407,14.65,14.75,14.55,14.65,6852227,100187928,1124,0.0,14.65
20100408,14.65,14.95,14.55,14.75,16415666,242042052,2446,0.1,14.75
20100409,14.8,14.8,14.65,14.7,10455626,153930736,1604,-0.05,14.7
20100412,14.8,14.8,14.65,14.65,8010498,117804100,1170,-0.05,14.65
20100413,14.65,14.65,14.5,14.55,5915171,86118067,1544,-0.1,14.55
20100414,14.65,14.7,14.5,14.65,8382257,122250468,1360,0.1,14.65
20100415,14.75,14.75,14.55,14.7,10010793,146849759,1296,0.05,14.7
20100416,14.65,14.7,14.55,14.6,4888905,71313246,888,-0.1,14.6
20100419,14.4,14.45,14.15,14.2,16613610,237390387,2621,-0.4,14.2
20100420,14.25,14.35,14.15,14.3,11215472,159722516,1501,0.1,14.3
20100421,14.3,14.45,14.25,14.35,7617675,109088446,1397,0.05,14.35
20100422,14.25,14.3,14.1,14.2,9914706,140797074,2082,-0.15,14.2
20100423,14.3,14.3,14.2,14.25,7034369,100176872,1406,0.05,14.25
20100426,14.4,14.55,14.35,14.5,11820563,171075988,2414,0.25,14.5
20100427,14.5,14.5,14.35,14.45,5598376,80825306,529,-0.05,14.45
20100428,14.05,14.3,14.05,14.2,8563617,121543501,1623,-0.25,14.2
20100429,14.2,14.25,14.1,14.15,7894002,111916962,1427,-0.05,14.15
20100430,14.2,14.4,14.15,14.15,13506813,192819282,3106,0.0,14.15
20100503,14.1,14.15,14.05,14.1,8380210,118048386,1428,-0.05,14.1
20100504,14.1,14.25,14.0,14.05,9370236,132226549,1630,-0.05,14.05
20100505,13.8,13.85,13.7,13.7,12616712,173452494,2271,-0.35,13.7
20100506,13.7,13.75,13.5,13.6,12441548,169834427,2347,-0.1,13.6
20100507,13.4,13.55,13.35,13.4,10061550,135052105,1821,-0.2,13.4
20100510,13.5,13.6,13.4,13.5,9235617,124450374,1873,0.1,13.5
20100511,13.6,13.7,13.4,13.4,14472908,196068450,2427,-0.1,13.4
20100512,13.5,13.55,13.35,13.45,11013423,148187673,1679,0.05,13.45
20100513,13.6,13.95,13.55,13.85,18015118,247119520,2899,0.4,13.85
20100514,13.8,13.8,13.7,13.8,5107410,70282703,1109,-0.05,13.8
20100517,13.6,13.65,13.4,13.6,10487088,141592533,1492,-0.2,13.6
20100518,13.55,13.6,13.45,13.5,5570633,75291090,1283,-0.1,13.5
20100519,13.5,13.7,13.45,13.6,12378201,168178664,1980,0.1,13.6
20100520,13.6,13.65,13.35,13.35,8240001,111027800,1573,-0.25,13.35
20100521,13.1,13.15,12.95,13.0,18976712,247586420,2368,-0.35,13.0
20100524,13.0,13.15,12.95,13.0,13064175,170400625,2118,0.0,13.0
20100525,12.95,12.95,12.4,12.45,20261594,255977234,3067,-0.55,12.45
20100526,12.5,12.85,12.45,12.55,64384836,808411359,5878,0.1,12.55
20100527,12.4,12.65,12.3,12.65,13718901,171497831,2436,0.1,12.65
20100528,12.8,12.85,12.55,12.7,18595216,236515449,2681,0.05,12.7
20100531,12.7,12.8,12.65,12.8,13665664,173748793,1413,0.1,12.8
20100601,12.75,12.75,12.6,12.65,5356276,67948684,999,-0.15,12.65
20100602,12.55,12.75,12.5,12.7,13627657,172251321,1353,0.05,12.7
20100603,12.8,13.0,12.75,12.95,26146454,336882997,3216,0.25,12.95
20100604,12.95,12.95,12.75,12.75,6201141,79597602,1060,-0.2,12.75
20100607,12.45,12.6,12.4,12.45,14858148,185203900,1930,-0.3,12.45
20100608,12.5,12.8,12.5,12.7,9965139,126295995,1321,0.25,12.7
20100609,12.65,12.85,12.55,12.6,7930251,100677016,1294,-0.1,12.6
20100610,12.8,12.85,12.65,12.8,8104579,103202252,1139,0.2,12.8
20100611,13.0,13.05,12.9,12.95,13370502,173376640,1906,0.15,12.95
20100614,13.1,13.2,13.05,13.1,14301211,187440702,1840,0.15,13.1
20100615,13.1,13.2,13.0,13.15,10509679,137795559,1433,0.05,13.15
20100617,13.2,13.3,13.15,13.2,12595593,166325004,1845,0.05,13.2
20100618,13.3,13.3,13.05,13.15,6560725,86341489,990,-0.05,13.15
20100621,13.3,13.55,13.25,13.5,20340757,272857728,3819,0.35,13.5
20100622,13.45,13.5,13.4,13.5,5495007,74028483,1125,0.0,13.5
20100623,13.45,13.6,13.4,13.45,9646333,130071227,1642,-0.05,13.45
