date,foreign_net,trust_net
2024-11-26,-2380000,0
2024-11-27,-755000,0
2024-11-28,100000,0
2024-11-29,946000,0
2024-12-02,3518000,0
2024-12-03,16347000,0
2024-12-04,195100,0
2024-12-05,17965330,0
2024-12-06,-1465000,0
2024-12-09,-85000,0
2024-12-10,-5298700,0
2024-12-11,3965000,0
2024-12-12,-1235000,0
2024-12-13,-7300000,0
2024-12-16,-14914000,0
2024-12-17,-5431000,0
2024-12-18,-524000,0
2024-12-19,-408000,0
2024-12-20,241000,0
2024-12-23,6763000,0
2024-12-24,-3000,0
2024-12-25,-4294000,0
2024-12-26,562000,0
2024-12-27,1000,0
2024-12-30,249000,0
2024-12-31,899000,0
2025-01-02,590000,0
2025-01-03,-1740000,0
2025-01-06,1668000,0
2025-01-07,-4192000,0
2025-01-08,427000,0
2025-01-09,536000,0
2025-01-10,2315000,0
2025-01-13,334000,0
2025-01-14,1585000,0
2025-01-15,660000,0
2025-01-16,2911000,0
2025-01-17,1377000,0
2025-01-20,1416000,0
2025-01-21,1123000,0
2025-01-22,18466670,0
2025-02-03,16349000,0
2025-02-04,46377000,0
2025-02-05,8821000,0
2025-02-06,19256000,0
2025-02-07,6719000,0
2025-02-10,-938000,0
2025-02-11,-2682000,0
2025-02-12,-411000,0
2025-02-13,-2147000,0
2025-02-14,-4732000,0
2025-02-17,443500,0
2025-02-18,3358100,0
2025-02-19,-390000,0
2025-02-20,300000,0
2025-02-21,-698000,0
2025-02-24,-712000,0
2025-02-25,785000,0
2025-02-26,-482000,0
2025-02-27,19000,0
2025-03-03,5557400,0
2025-03-04,8277245,0
2025-03-05,4340000,0
2025-03-06,7005000,0
2025-03-07,6789200,0
2025-03-10,-1241900,0
2025-03-11,700000,0
2025-03-12,-8545000,0
2025-03-13,-2803000,0
2025-03-14,2011000,0
2025-03-17,737000,0
2025-03-18,-8303000,0
2025-03-19,-3064000,0
2025-03-20,-3047000,0
2025-03-21,-2687000,0
2025-03-24,-2493000,0
2025-03-25,-880000,0
2025-03-26,2584000,0
2025-03-27,-1085000,0
2025-03-28,-2240000,0
2025-03-31,2247000,0
2025-04-01,3303000,0
2025-04-02,3453000,1765000
2025-04-07,-3864000,1014000
2025-04-08,-6642900,0
2025-04-09,-5474000,0
2025-04-10,12504000,0
2025-04-11,12792000,0
2025-04-14,-1064000,0
2025-04-15,-88000,0
2025-04-16,90000,0
2025-04-17,244900,0
2025-04-18,539000,0
2025-04-21,-1846000,0
