date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2024-03-05,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.084,0.0,2024-02-27,2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-03-24,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.084,0.0,2024-03-18,2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-04-24,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.084,0.0,2024-04-18,2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-05-25,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.084,0.0,2024-05-17,2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-06-30,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.084,0.0,2024-06-24,2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-07-27,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.084,0.0,2024-07-19,2024-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-08-27,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.082,0.0,2024-08-21,2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-09-29,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.082,0.0,2024-09-23,2024-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-10-28,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.082,0.0,2024-10-22,2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-11-27,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.082,0.0,2024-11-21,2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,
2024-12-28,00937B,113,0.0,0.0,,0.0,0.0,0.0,0.0,0.082,0.0,2024-12-20,2025-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-01-28,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.082,0.0,2025-01-22,2025-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-02-24,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.082,0.0,2025-02-18,2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-03-24,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.08,0.0,2025-03-18,2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-04-27,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.08,0.0,2025-04-21,2025-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-05-25,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.077,0.0,2025-05-19,2025-06-13,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-06-23,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.077,0.0,2025-06-17,2025-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-07-22,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2025-07-16,2025-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-08-24,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2025-08-18,2025-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-09-22,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2025-09-16,2025-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-10-26,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2025-10-20,2025-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-11-24,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2025-11-18,2025-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-12-22,00937B,114,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2025-12-16,2026-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-26,00937B,115,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2026-01-20,2026-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-03-07,00937B,115,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2026-02-26,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-03-23,00937B,115,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2026-03-17,2026-04-14,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-04-26,00937B,115,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2026-04-20,2026-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-05-25,00937B,115,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2026-05-19,2026-06-12,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-06-22,00937B,115,0.0,0.0,,0.0,0.0,0.0,0.0,0.072,0.0,2026-06-16,2026-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,
