date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-08-18,3702,98年,1.799215,0.0,2010-08-12,0.0,0.0,0.0,0.0,1.999128,0.0,2010-08-12,,20000000.0,0.0,0.0,0.0,27000000.0,0.0,2010-07-28,18:59:01
2011-08-20,3702,99年,0.0,0.9,2011-08-12,0.0,0.0,0.0,0.0,2.1,0.0,2011-08-12,,35000000.0,0.0,0.0,0.0,33000000.0,0.0,2011-07-29,15:04:20
2012-07-31,3702,100年,0.0,0.0,,0.0,0.0,0.0,0.0,2.6,0.0,2012-07-25,,41000000.0,0.0,0.0,0.0,36000000.0,0.0,2012-07-12,14:11:18
2013-07-31,3702,101年,0.0,0.0,,0.0,0.0,0.0,0.0,2.4,0.0,2013-07-25,,48000000.0,0.0,0.0,0.0,37000000.0,0.0,2013-07-10,16:42:08
2014-08-15,3702,102年,0.0,0.0,,0.0,0.0,0.0,0.0,2.3,0.0,2014-08-07,2014-09-10,57000000.0,0.0,0.0,0.0,37000000.0,0.0,2014-07-24,09:24:33
2015-08-12,3702,103年,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2015-08-06,2015-09-04,20891890.0,0.0,0.0,0.0,33323286.0,0.0,2015-07-23,14:47:16
2016-08-07,3702,104年,0.0,0.0,,0.0,0.0,0.0,0.0,2.4,0.0,2016-08-01,2016-08-30,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-15,16:10:47
2017-08-19,3702,105年,0.0,0.0,,0.0,0.0,0.0,0.0,2.28940817,0.0,2017-08-11,2017-09-08,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-28,09:41:06
2018-07-31,3702,106年,0.0,0.0,,0.0,0.0,0.0,0.0,2.4,0.0,2018-07-25,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-10,16:01:24
2019-08-26,3702,不適用,0.0,0.0,2019-08-20,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,200000000.0,9.529159279,50.0,0.0,1679056833.0,2019-08-13,17:36:48
2020-08-08,3702,108年,0.0,0.0,,0.0,0.0,0.0,0.0,2.4,0.0,2020-07-31,2020-08-28,0.0,0.0,0.0,0.0,0.0,1679056833.0,2020-07-16,16:56:51
2021-08-17,3702,109年,0.0,0.0,,0.0,0.0,0.0,0.0,3.1,0.0,2021-08-11,2021-08-31,0.0,0.0,0.0,0.0,0.0,1679056833.0,2021-07-28,10:04:35
2022-07-25,3702,110年,0.0,0.0,,0.0,0.0,0.0,0.0,3.5,0.0,2022-07-19,2022-08-15,0.0,0.0,0.0,0.0,0.0,1679056833.0,2022-07-04,17:45:56
2023-07-31,3702,111年,0.0,0.0,,0.0,0.0,0.0,0.0,3.85,0.0,2023-07-25,2023-08-21,0.0,0.0,0.0,0.0,0.0,1679056833.0,2023-07-10,16:32:34
2024-07-31,3702,112年,0.0,0.0,,0.0,0.0,0.0,0.0,3.5,0.0,2024-07-25,2024-08-21,0.0,0.0,0.0,0.0,0.0,1679056833.0,2024-07-09,18:01:28
2025-07-31,3702,113年,0.0,0.0,,0.0,0.0,0.0,0.0,3.2,0.0,2025-07-24,2025-08-21,0.0,0.0,0.0,0.0,0.0,1679056833.0,2025-07-08,16:46:37
2026-09-03,3702,114年,0.0,0.0,,0.0,0.0,0.0,0.0,3.64323642,0.0,2026-08-27,2026-09-30,0.0,0.0,0.0,0.0,0.0,1751374307.0,2026-08-12,14:45:55
