date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,4141728000,2015-01-11,
2015-02-01,2015,1,4685553000,2015-02-11,
2015-03-01,2015,2,4151563000,2015-03-11,
2015-04-01,2015,3,4572582000,2015-04-11,
2015-05-01,2015,4,4640255000,2015-05-11,
2015-06-01,2015,5,4216772000,2015-06-11,
2015-07-01,2015,6,4388200000,2015-07-11,
2015-08-01,2015,7,4314499000,2015-08-11,
2015-09-01,2015,8,4191271000,2015-09-11,
2015-10-01,2015,9,4139655000,2015-10-11,
2015-11-01,2015,10,4232887000,2015-11-11,
2015-12-01,2015,11,3481793000,2015-12-11,
2016-01-01,2015,12,3594890000,2016-01-11,-0.1320313646864304
2016-02-01,2016,1,4058156000,2016-02-11,-0.133900310166164
2016-03-01,2016,2,4035706000,2016-03-11,-0.027906838942345358
2016-04-01,2016,3,4407274000,2016-04-11,-0.036152003397642685
2016-05-01,2016,4,4098770000,2016-05-11,-0.11669294036642386
2016-06-01,2016,5,4197593000,2016-06-11,-0.004548265829881215
2016-07-01,2016,6,4099779000,2016-07-11,-0.06572649377877038
2016-08-01,2016,7,3711673000,2016-08-11,-0.13972097339691125
2016-09-01,2016,8,4198914000,2016-09-11,0.0018235518533638029
2016-10-01,2016,9,3798837000,2016-10-11,-0.08233004924323406
2016-11-01,2016,10,4130920000,2016-11-11,-0.02408923271516583
2016-12-01,2016,11,3493455000,2016-12-11,0.003349423702098342
2017-01-01,2016,12,3775265000,2017-01-11,0.050175387842187114
2017-02-01,2017,1,4517444000,2017-02-11,0.11317652648148568
2017-03-01,2017,2,3985969000,2017-03-11,-0.012324237692240225
2017-04-01,2017,3,4807171000,2017-04-11,0.09073567924299697
2017-05-01,2017,4,4192447000,2017-05-11,0.022854905252063462
2017-06-01,2017,5,5632887000,2017-06-11,0.34193262662673574
2017-07-01,2017,6,5963383000,2017-07-11,0.4545620629794922
2017-08-01,2017,7,5629272000,2017-08-11,0.5166400703941323
2017-09-01,2017,8,6113030000,2017-09-11,0.4558597770756916
2017-10-01,2017,9,5828249000,2017-10-11,0.534219288692829
2017-11-01,2017,10,6356211000,2017-11-11,0.5386913810967049
2017-12-01,2017,11,5878153000,2017-12-11,0.6826187828381931
2018-01-01,2017,12,5378843000,2018-01-11,0.4247590566490034
2018-02-01,2018,1,7424912000,2018-02-11,0.6436090851375247
2018-03-01,2018,2,6767832000,2018-03-11,0.6979138573330601
2018-04-01,2018,3,7613185000,2018-04-11,0.583714205298709
2018-05-01,2018,4,7097468000,2018-05-11,0.6929177637785284
2018-06-01,2018,5,7190456000,2018-06-11,0.27651344683463375
2018-07-01,2018,6,7295961000,2018-07-11,0.22346007291498804
2018-08-01,2018,7,7080156000,2018-08-11,0.257739189010586
2018-09-01,2018,8,7534361000,2018-09-11,0.23250842871701916
2018-10-01,2018,9,6321059000,2018-10-11,0.08455541278349643
2018-11-01,2018,10,7796745000,2018-11-11,0.22663407492293763
2018-12-01,2018,11,6137280000,2018-12-11,0.04408306486748481
2019-01-01,2018,12,5672823000,2019-01-11,0.054654876522701956
2019-02-01,2019,1,7709297000,2019-02-11,0.03830146404428758
2019-03-01,2019,2,6540844000,2019-03-11,-0.03353924861019009
2019-04-01,2019,3,7083908000,2019-04-11,-0.0695211005643499
