date,open,high,low,close,volume,turnover,transactions,price_change
20100104,58.0,60.5,57.5,60.5,74782655,4425219677,23301,3.8
20100105,61.0,61.0,57.0,57.0,40974717,2395200769,14782,-3.5
20100106,57.3,58.3,56.8,57.3,25437934,1464581091,8599,0.3
20100107,58.7,58.8,55.0,55.0,36501654,2080516670,12692,-2.3
20100108,55.4,57.0,54.1,57.0,22494216,1249871912,8313,2.0
20100111,57.3,57.8,56.7,56.7,19201241,1098002348,6914,-0.3
20100112,56.5,56.8,55.6,56.1,9691880,543873151,4181,-0.6
20100113,56.0,57.6,55.2,56.8,17393859,989854878,6967,0.7
20100114,57.3,58.4,57.1,57.9,17730115,1023491241,6615,1.1
20100115,58.4,58.9,57.1,57.1,23603934,1367635416,7471,-0.8
20100118,58.0,58.6,57.5,57.5,21837690,1269942062,8020,0.4
20100119,58.1,58.2,56.1,56.3,12137766,688992974,5135,-1.2
20100120,56.9,57.3,55.6,56.6,10151366,574540506,3827,0.3
20100121,56.5,56.7,54.8,55.0,8938794,496856670,3743,-1.6
20100122,53.6,55.2,53.3,54.8,12242542,665475810,4713,-0.2
20100125,54.5,55.9,54.1,54.3,9834548,540680148,3865,-0.5
20100126,55.5,56.6,51.0,52.0,33483066,1819513129,12521,-2.3
20100127,53.0,53.6,48.6,50.1,23488387,1209636837,9176,-1.9
20100128,50.9,52.0,50.0,52.0,15517139,789807967,6344,1.9
20100129,50.9,51.3,49.6,50.9,10951269,553039356,4466,-1.1
20100201,51.2,51.5,50.0,50.1,5807651,293362308,2699,-0.8
20100202,50.9,51.1,47.15,47.4,13745275,668323076,5724,-2.7
20100203,48.0,48.4,46.45,47.65,17324384,820615554,7368,0.25
20100204,47.7,48.7,47.55,47.95,10443803,502538844,4612,0.3
20100205,46.2,46.25,44.6,44.6,13619792,616094948,5696,-3.35
20100206,44.6,45.2,41.55,42.0,14396026,624908500,5890,-2.6
20100208,42.3,44.9,42.05,44.9,10316630,452231037,4271,2.9
20100209,45.5,47.9,45.5,47.85,21043363,985663350,8344,2.95
20100210,48.3,49.9,47.4,49.9,25468102,1235283150,9617,2.05
20100222,49.2,49.2,46.45,46.45,27888108,1326870039,9843,-3.45
