stock_id,name,template,is_current,is_new_best,n_trades,win_rate,pf,max_dd,im_cagr,fill_rate,expectancy,score
006208,富邦台50,low_vol_pullback,False,False,5,0.6,1.776,-0.0294,0.2471,0.714,0.0134,3.183
006208,富邦台50,mean_reversion,False,False,13,0.5385,1.991,-0.0592,0.2638,0.867,0.0151,5.254
006208,富邦台50,donchian_breakout,True,False,43,0.5349,2.614,-0.0684,0.2306,0.978,0.0233,9.89
006208,富邦台50,trend_pullback,False,False,4,0.5,1.275,-0.0246,0.0443,0.364,0.0045,2.053
006208,富邦台50,momentum_hold,False,True,11,0.4545,7.088,-0.0837,0.185,0.786,0.1264,17.613
006208,富邦台50,volume_breakout,False,False,36,0.5833,2.964,-0.0563,0.28,0.973,0.0221,10.704
006208,富邦台50,bollinger_squeeze,False,False,9,0.4444,3.239,-0.0378,0.3945,0.692,0.0294,7.458
1303,南亞,low_vol_pullback,False,False,15,0.5333,1.619,-0.0719,0.2817,0.938,0.0112,4.488
1303,南亞,mean_reversion,False,False,10,0.4,2.828,-0.0602,0.4557,0.833,0.0349,6.781
1303,南亞,donchian_breakout,False,False,23,0.3478,0.636,-0.0863,-0.1584,0.885,-0.0078,
1303,南亞,trend_pullback,False,True,4,0.75,10.465,-0.0183,0.7512,0.5,0.0482,16.842
1303,南亞,momentum_hold,False,False,14,0.4286,1.259,-0.1244,0.021,0.789,0.0053,3.41
1303,南亞,volume_breakout,False,False,34,0.3824,0.853,-0.1081,-0.0895,0.971,-0.0029,
1303,南亞,bollinger_squeeze,False,False,9,0.1111,0.163,-0.0533,-0.342,1.0,-0.0197,
1326,台化,low_vol_pullback,False,False,20,0.55,2.811,-0.0436,0.3544,1.0,0.03,8.56
1326,台化,mean_reversion,False,False,14,0.4286,1.672,-0.0287,0.22,0.933,0.011,4.528
1326,台化,donchian_breakout,False,False,28,0.2857,0.495,-0.0959,-0.2302,1.0,-0.0149,
1326,台化,trend_pullback,True,True,16,0.375,3.465,-0.0139,0.6959,0.457,0.0288,9.817
1326,台化,momentum_hold,False,False,13,0.1538,0.647,-0.0596,-0.0705,0.684,-0.0079,
1326,台化,volume_breakout,False,False,39,0.1795,0.279,-0.1041,-0.7522,1.0,-0.0157,
1326,台化,bollinger_squeeze,False,False,15,0.3333,0.891,-0.0399,-0.048,0.882,-0.0031,
1560,中砂,low_vol_pullback,False,False,49,0.5306,1.497,-0.2649,0.2035,0.891,0.015,5.857
1560,中砂,mean_reversion,True,False,21,0.6667,3.036,-0.1146,1.1228,0.875,0.0452,9.385
1560,中砂,donchian_breakout,False,False,55,0.4,1.293,-0.3684,0.0712,1.0,0.0126,5.204
1560,中砂,trend_pullback,False,False,11,0.5455,2.947,-0.0679,0.4234,0.478,0.0351,7.322
1560,中砂,momentum_hold,False,True,18,0.3333,3.273,-0.2631,0.2465,0.864,0.0954,9.637
1560,中砂,volume_breakout,False,False,56,0.375,0.873,-0.2532,-0.111,1.0,-0.002,
