stock_id,benchmark_0050_test_cagr,bh_test_cagr,T1_verdict,T1_n_trades,T1_pf,T1_expectancy,T1_avg_win,T1_avg_loss,T1_dd,T1_cagr,T1_alpha_vs_0050,T2_verdict,T2_n_trades,T2_pf,T2_expectancy,T2_avg_win,T2_avg_loss,T2_dd,T2_cagr,T2_alpha_vs_0050,T3_verdict,T3_n_trades,T3_pf,T3_expectancy,T3_avg_win,T3_avg_loss,T3_dd,T3_cagr,T3_alpha_vs_0050,T4_verdict,T4_n_trades,T4_pf,T4_expectancy,T4_avg_win,T4_avg_loss,T4_dd,T4_cagr,T4_alpha_vs_0050,T5_verdict,T5_n_trades,T5_pf,T5_expectancy,T5_avg_win,T5_avg_loss,T5_dd,T5_cagr,T5_alpha_vs_0050,T6_verdict,T6_n_trades,T6_pf,T6_expectancy,T6_avg_win,T6_avg_loss,T6_dd,T6_cagr,T6_alpha_vs_0050,T7_verdict,T7_n_trades,T7_pf,T7_expectancy,T7_avg_win,T7_avg_loss,T7_dd,T7_cagr,T7_alpha_vs_0050,T8_verdict,T8_n_trades,T8_pf,T8_expectancy,T8_avg_win,T8_avg_loss,T8_dd,T8_cagr,T8_alpha_vs_0050,T9_verdict,T9_n_trades,T9_pf,T9_expectancy,T9_avg_win,T9_avg_loss,T9_dd,T9_cagr,T9_alpha_vs_0050,T10_verdict,T10_n_trades,T10_pf,T10_expectancy,T10_avg_win,T10_avg_loss,T10_dd,T10_cagr,T10_alpha_vs_0050,T11_verdict,T11_n_trades,T11_pf,T11_expectancy,T11_avg_win,T11_avg_loss,T11_dd,T11_cagr,T11_alpha_vs_0050,best_template,best_expectancy
1301,0.26994592362493,-0.0831746035166302,INSUFFICIENT,3,1.972,0.018,0.1009,-0.0235,-0.078,0.0091,-0.2608,DD_BREACH,12,0.022,-0.047,0.0112,-0.0523,-0.5095,-0.1166,-0.3866,FAIL,5,0.0,-0.0587,0.0,-0.0587,-0.2903,-0.0576,-0.3275,DD_BREACH,14,0.342,-0.0195,0.0358,-0.0416,-0.4305,-0.0311,-0.3011,SUSPICIOUS_PERFECT,5,21.077,0.1124,0.1464,-0.0239,-0.0753,0.1023,-0.1676,FAIL,13,0.16,-0.0227,0.0135,-0.0387,-0.2796,-0.0556,-0.3255,SUSPICIOUS_PERFECT,6,,0.0559,0.0559,0.0,-0.093,0.0621,-0.2078,WEAK,5,3.087,0.0206,0.0378,-0.0479,-0.0913,0.0188,-0.2512,INSUFFICIENT,3,0.032,-0.0314,0.0032,-0.0486,-0.1659,-0.018,-0.288,FAIL,8,1.671,0.0075,0.0337,-0.0187,-0.1182,0.0101,-0.2599,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,low_vol_pullback,0.0206
1326,0.26994592362493,-0.06471438715721001,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,DD_BREACH,8,0.0,-0.0526,0.0,-0.0526,-0.4358,-0.0934,-0.3634,INSUFFICIENT,4,0.0,-0.0281,0.0,-0.0281,-0.2056,0.0519,-0.2181,DD_BREACH,11,0.115,-0.0326,0.0157,-0.0507,-0.4106,0.0094,-0.2605,INSUFFICIENT,3,17.584,0.0994,0.1577,-0.0171,-0.0793,0.0528,-0.2172,FAIL,7,0.003,-0.0379,0.0011,-0.0444,-0.255,-0.0499,-0.3198,INSUFFICIENT,3,,0.0343,0.0343,0.0,-0.146,0.0191,-0.2509,WEAK,8,7.307,0.0345,0.0538,-0.0231,-0.0833,0.0514,-0.2186,INSUFFICIENT,1,0.0,-0.0376,0.0,-0.0376,-0.1175,-0.0072,-0.2771,INSUFFICIENT,2,0.0,-0.0317,0.0,-0.0317,-0.0624,-0.012,-0.282,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,low_vol_pullback,0.0345
6505,0.26994592362493,-0.09016454072714852,INSUFFICIENT,1,,0.3981,0.3981,0.0,-0.0565,0.0649,-0.2051,DD_BREACH,11,0.018,-0.0406,0.0051,-0.0508,-0.3872,-0.0829,-0.3528,INSUFFICIENT,4,0.012,-0.0459,0.0022,-0.062,-0.2344,-0.035,-0.305,PASS,6,3.549,0.0755,0.1528,-0.0792,-0.1846,0.0717,-0.1982,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,FAIL,9,0.308,-0.0224,0.1164,-0.0397,-0.2515,-0.04,-0.3099,DD_BREACH,16,0.117,-0.0353,0.0339,-0.0513,-0.5018,-0.1112,-0.3811,FAIL,9,1.375,0.0098,0.0698,-0.0382,-0.1741,0.014,-0.256,FAIL,6,0.011,-0.0503,0.0041,-0.0612,-0.2893,-0.057,-0.3269,FAIL,12,0.018,-0.027,0.0066,-0.0301,-0.2827,-0.0604,-0.3303,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,chip_momentum,0.0755
1303,0.26994592362493,0.08154840147383657,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,DD_BREACH,15,1.4,0.0224,0.1605,-0.0697,-0.5096,0.0353,-0.2347,FAIL,5,1.049,0.0038,0.0666,-0.0381,-0.2123,0.0012,-0.2688,DD_BREACH,11,0.301,-0.0286,0.0546,-0.0598,-0.4343,-0.0422,-0.3121,WEAK,5,3.074,0.023,0.0812,-0.0158,-0.0886,0.0203,-0.2496,INSUFFICIENT,3,,0.1227,0.1227,0.0,-0.0718,0.0656,-0.2043,PASS,9,7.679,0.1152,0.1892,-0.0327,-0.2266,0.2037,-0.0663,INSUFFICIENT,4,8.064,0.0444,0.0673,-0.0244,-0.1431,0.0325,-0.2374,INSUFFICIENT,4,1.334,0.0156,0.1895,-0.0424,-0.096,0.0082,-0.2618,DD_BREACH,26,0.284,-0.0183,0.0216,-0.0361,-0.4116,-0.0894,-0.3593,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,gap_continuation,0.1152
1809,0.26994592362493,0.18032543802621248,INSUFFICIENT,1,0.0,-0.0324,0.0,-0.0324,-0.0324,-0.0062,-0.2761,DD_BREACH,15,0.378,-0.0247,0.0789,-0.0507,-0.4119,-0.0726,-0.3425,DD_BREACH,26,0.639,-0.0054,0.2224,-0.0351,-0.5681,-0.0541,-0.3241,DD_BREACH,21,0.688,-0.0096,0.2082,-0.0777,-0.5773,-0.079,-0.3489,INSUFFICIENT,4,0.0,-0.0865,0.0,-0.0865,-0.3568,-0.0664,-0.3364,DD_BREACH,18,0.963,0.0027,0.1129,-0.0396,-0.3714,-0.0033,-0.2733,DD_BREACH,16,1.134,0.0231,0.1903,-0.1069,-0.447,0.0308,-0.2391,FAIL,11,0.505,-0.0171,0.0443,-0.0683,-0.2365,-0.0395,-0.3094,PASS,8,5.071,0.0882,0.1706,-0.0491,-0.1782,0.1145,-0.1554,DD_BREACH,5,0.025,-0.0646,0.0076,-0.0826,-0.3284,-0.0642,-0.3342,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,bollinger_squeeze,0.0882
2002,0.26994592362493,-0.02131075228824353,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,DD_BREACH,21,0.069,-0.0356,0.0263,-0.046,-0.5739,-0.135,-0.405,DD_BREACH,8,1.314,0.025,0.2428,-0.0477,-0.3643,0.0212,-0.2487,DD_BREACH,19,0.64,-0.0108,0.1481,-0.0532,-0.5275,-0.0638,-0.3337,FAIL,12,0.867,-0.002,0.0604,-0.0465,-0.265,-0.0096,-0.2795,DD_BREACH,16,0.754,-0.0049,0.2311,-0.0386,-0.36,-0.0282,-0.2982,DD_BREACH,7,0.801,-0.0038,0.2915,-0.053,-0.3555,-0.014,-0.2839,FAIL,8,0.726,-0.0065,0.0391,-0.0522,-0.196,-0.0121,-0.282,FAIL,6,0.116,-0.0186,0.0156,-0.0254,-0.1108,-0.021,-0.291,FAIL,6,0.0,-0.0249,0.0,-0.0249,-0.1407,-0.028,-0.298,INSUFFICIENT,1,,0.2654,0.2654,0.0,-0.0077,0.0451,-0.2248,NONE,
6271,0.26994592362493,0.05119733453681996,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,DD_BREACH,9,0.0,-0.0675,0.0,-0.0675,-0.4903,-0.1124,-0.3823,DD_BREACH,16,0.447,-0.0213,0.1012,-0.0496,-0.524,-0.0776,-0.3476,DD_BREACH,20,1.049,0.0049,0.0892,-0.0513,-0.4152,0.0289,-0.2411,FAIL,6,0.025,-0.0295,0.0044,-0.0363,-0.2224,-0.0332,-0.3032,DD_BREACH,14,0.008,-0.0461,0.0075,-0.0502,-0.4907,-0.1174,-0.3873,INSUFFICIENT,3,0.618,-0.015,0.1136,-0.0793,-0.1679,-0.0114,-0.2813,INSUFFICIENT,4,0.044,-0.0152,0.0028,-0.0213,-0.1134,-0.0117,-0.2816,FAIL,11,0.223,-0.0304,0.053,-0.0489,-0.2942,-0.0633,-0.3332,INSUFFICIENT,4,0.451,-0.0228,0.0454,-0.091,-0.1459,-0.0193,-0.2892,INSUFFICIENT,1,0.0,-0.0248,0.0,-0.0248,-0.0496,-0.0047,-0.2746,NONE,
4958,0.26994592362493,0.326567809197432,INSUFFICIENT,2,1.43,0.0031,0.0198,-0.0136,-0.1171,0.0011,-0.2688,DD_BREACH,12,0.873,0.0075,0.331,-0.0572,-0.3313,0.1259,-0.1441,DD_BREACH,6,0.0,-0.0787,0.0,-0.0787,-0.44,-0.0907,-0.3606,DD_BREACH,12,0.846,0.0004,0.1314,-0.0651,-0.3139,-0.0144,-0.2843,INSUFFICIENT,2,3.96,0.0549,0.1451,-0.0353,-0.0525,0.0188,-0.2511,DD_BREACH,24,0.372,-0.0141,0.0404,-0.0323,-0.3177,-0.0123,-0.2823,PASS,7,2.587,0.073,0.1559,-0.1344,-0.2317,0.1411,-0.1289,DD_BREACH,7,0.091,-0.0504,0.0364,-0.0649,-0.394,-0.0675,-0.3375,INSUFFICIENT,2,0.0,-0.043,0.0,-0.043,-0.0841,-0.0163,-0.2863,FAIL,7,0.44,-0.015,0.099,-0.034,-0.184,-0.0211,-0.291,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,gap_continuation,0.073
2382,0.26994592362493,0.36420645891601233,INSUFFICIENT,3,0.993,0.0015,0.041,-0.0777,-0.1621,-0.0001,-0.2701,DD_BREACH,9,0.336,-0.0279,0.0403,-0.062,-0.3428,-0.048,-0.3179,DD_BREACH,19,1.274,0.0459,0.3938,-0.0469,-0.5629,0.0512,-0.2187,DD_BREACH,6,3.385,0.2382,0.5537,-0.0773,-0.3677,0.144,-0.126,DD_BREACH,12,0.441,-0.0256,0.0522,-0.0812,-0.3445,-0.0632,-0.3332,DD_BREACH,15,1.66,0.0318,0.1752,-0.0399,-0.3763,0.0644,-0.2056,FAIL,26,1.068,0.0041,0.0699,-0.0441,-0.2493,0.0093,-0.2607,FAIL,9,0.49,-0.0137,0.0418,-0.0414,-0.1573,-0.0247,-0.2947,INSUFFICIENT,2,1.897,0.0308,0.1169,-0.0552,-0.0973,0.0175,-0.2524,WEAK,32,2.219,0.0239,0.0686,-0.0335,-0.1858,0.1226,-0.1474,INSUFFICIENT,1,,0.0282,0.0282,0.0,-0.0245,0.0052,-0.2647,chip_streak,0.0239
2337,0.26994592362493,0.32321120740959386,INSUFFICIENT,1,0.0,-0.0491,0.0,-0.0491,-0.0491,-0.0094,-0.2793,WEAK,10,1.612,0.028,0.1607,-0.0605,-0.2592,0.0139,-0.2561,DD_BREACH,8,0.005,-0.0512,0.0027,-0.0589,-0.3982,-0.0769,-0.3468,DD_BREACH,19,1.163,0.0284,0.2767,-0.0603,-0.5287,0.0205,-0.2495,INSUFFICIENT,0,,,0.0,0.0,0.0,0.0,-0.2699,DD_BREACH,8,0.0,-0.0403,0.0,-0.0403,-0.3003,-0.0603,-0.3302,DD_BREACH,22,1.597,0.033,0.162,-0.0745,-0.3361,0.0986,-0.1713,WEAK,7,1.775,0.0271,0.0966,-0.0655,-0.1863,0.0308,-0.2392,INSUFFICIENT,3,0.0,-0.0454,0.0,-0.0454,-0.1304,-0.0259,-0.2958,INSUFFICIENT,3,5.879,0.0716,0.1284,-0.0419,-0.0536,0.0368,-0.2332,INSUFFICIENT,3,,0.1798,0.1798,0.0,-0.1004,0.0916,-0.1784,donchian_breakout,0.028
