journal_id,signal_date,logged_at,account,sid,name,template,tier,action,ref_close,limit_price,stop_loss,take_profit,position_pct_max,market_regime,in_position,real_entry,real_shares,reason,status,validated_at,fill_date,fill_price,bars_to_fill,exit_date,exit_price,exit_reason,realized_return,hold_days
2026-09-01_6271_Takeshi_SELL,2026-09-01,2026-09-01T22:20:29,Takeshi,6271,同欣電,narrow_range_breakout,C,SELL,231.0,,,,0.15,BULL,False,,0,,filled,2026-09-03T00:14:27,2026-09-02,225.5,1.0,,,,,
2026-09-01_3231_universe_SELL,2026-09-01,2026-09-01T22:23:40,universe,3231,緯創,three_day_reversal,C,SELL,182.0,,,,0.15,BULL,False,,0,,filled,2026-09-03T00:14:27,2026-09-02,184.0,1.0,,,,,
2026-09-01_6271_universe_SELL,2026-09-01,2026-09-01T22:23:40,universe,6271,同欣電,narrow_range_breakout,C,SELL,231.0,,,,0.15,BULL,False,,0,,filled,2026-09-03T00:14:27,2026-09-02,225.5,1.0,,,,,
2026-09-01_6531_universe_SELL,2026-09-01,2026-09-01T22:23:41,universe,6531,愛普,low_vol_pullback,C,SELL,958.0,,,,0.15,BULL,False,,0,,filled,2026-09-03T00:14:27,2026-09-02,950.0,1.0,,,,,
2026-09-01_5274_universe_BUY,2026-09-01,2026-09-01T22:23:41,universe,5274,信驊,chip_momentum,S,BUY,17120.0,,,,1.0,BULL,False,,0,,filled,2026-09-03T00:14:27,2026-09-02,17120.0,1.0,,,,,
2026-09-02_5347_universe_SELL,2026-09-02,2026-09-03T00:17:58,universe,5347,世界先進,vwap_revert,C,SELL,149.5,,,,0.15,BULL,False,,0,,filled,2026-09-03T21:57:12,2026-09-03,151.0,1.0,,,,,
2026-09-02_4763_universe_BUY,2026-09-02,2026-09-03T00:17:58,universe,4763,材料-KY,donchian_breakout,C,BUY,51.5,50.0,,,0.15,BULL,False,,0,,filled,2026-09-03T21:57:12,2026-09-03,50.0,1.0,,,,,
2026-09-02_2492_universe_BUY,2026-09-02,2026-09-03T00:17:58,universe,2492,華新科,simple_dip_buy,A,BUY,293.0,293.3313,,,0.5,BULL,False,,0,,filled,2026-09-03T21:57:13,2026-09-03,293.3313,1.0,,,,,
2026-09-03_8046_Takeshi_BUY,2026-09-03,2026-09-03T21:57:30,Takeshi,8046,南電,mean_reversion,C,BUY,1080.0,1081.08,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-09-03_8069_Takeshi_SELL,2026-09-03,2026-09-03T21:57:30,Takeshi,8069,元太,failed_breakdown,C,SELL,147.0,,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-09-03_8046_universe_BUY,2026-09-03,2026-09-03T22:00:43,universe,8046,南電,mean_reversion,C,BUY,1080.0,1081.08,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-09-03_8069_universe_SELL,2026-09-03,2026-09-03T22:00:43,universe,8069,元太,failed_breakdown,C,SELL,147.0,,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-09-03_6285_universe_BUY,2026-09-03,2026-09-03T22:00:43,universe,6285,啟碁,simple_dip_buy,A,BUY,233.5,234.68280000000001,,,0.5,BULL,False,,0,,pending,,,,,,,,,
2026-09-03_3406_universe_BUY,2026-09-03,2026-09-03T22:00:43,universe,3406,玉晶光,narrow_range_breakout,C,BUY,991.0,1070.0,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-09-03_2820_universe_BUY,2026-09-03,2026-09-03T22:00:43,universe,2820,華票,monthly_anchor,C,BUY,17.05,17.05,,,0.15,BULL,False,,0,,pending,,,,,,,,,
2026-09-03_2404_universe_BUY,2026-09-03,2026-09-03T22:00:43,universe,2404,漢唐,style1_pullback,—,BUY,1035.0,,,,0.0,BULL,False,,0,回檔進場 RSI=39.4,pending,,,,,,,,,
